,id,movie,link,date,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
8318,c4602dccb33d766b395758385ae0f2c7,Lincoln,/movie/Lincoln,2012/11/09,Walt Disney,,,,,,,,,,,,,,,,,,144089046,38118927,,,,,,,,,,,,,,,,,,,,,,,,,18101638,4688674,,,,,,,
8698,f70586239dca1366441c3f682dec55ca,The Comedy,/movie/Comedy-The,2012/11/09,TriBeca Films,,,,,,,,,,,,,,,,,,41113,,,,,,,,,,,,,,,,,,,,,,,,,,5164,,,,,,,,
8816,faeb8e8aa19389393ec7715d529c7ac7,In Another Country,/movie/Da-reun-na-ra-e-suh,2012/11/09,Kino Lorber,,,,,,,,,,,,,,,,,,10332,14747,,,,,,,,,,,,,,,,,,,,,,,,,1297,1813,,,,,,,
8764,e0eac524fcd521792057f3a365349651,28 Hotel Rooms,/movie/28-Hotel-Rooms,2012/11/09,Oscilloscope Pict…,,,,,,,,,,,,,,,,,,18869,,,,,,,,,,,,,,,,,,,,,,,,,,2370,,,,,,,,
8908,4189ef81a1de730c845b702f0fdbbf56,Nature Calls,/movie/Nature-Calls,2012/11/09,Magnet Pictures,,,,,,,,,,,,,,,,,,646,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,
8774,525a739ebb8a800d785cbdb308be4880,Dangerous Liaisons,/movie/Dangerous-Liaisons-(2012),2012/11/09,Well Go USA,,,,,,,,,,,,,,,,,,17000,,,,,,,,,,,,,,,,,,,,,,,,,,2135,,,,,,,,
8521,465afa4c78cba046a2c21cc755ecf1aa,Son of Sardaar,/movie/Son-of-Sardaar,2012/11/13,Eros Entertainment,,,,,,,,,,,,,,,,,,713754,,,,,,,,,,,,,,,,,,,,,,,,,,89667,,,,,,,,
8468,a46d547ed8abac8e6f19b15e76a7f827,Jab Tak Hai Jaan,/movie/Jab-Tak-Hai-Jaan,2012/11/13,Yash Raj Films,,,,,,,,,,,,,,,,,,3047539,,,,,,,,,,,,,,,,,,,,,,,,,,382856,,,,,,,,
8306,6ce78013191778293b5d28cd2f2d057c,The Twilight Saga: Breaking…,/movie/Twilight-Saga-Breaking-Dawn-Part-2-The,2012/11/16,Lionsgate,,,,,,,,,,,,,,,,,,289133356,3191381,,,,,,,,,,,,,,,,,,,,,,,,,36323285,392543,,,,,,,
8387,8e1d672205bae9ab0e9bd46fd914a341,Silver Linings Playbook,/movie/Silver-Linings-Playbook,2012/11/16,Weinstein Co.,,,,,,,,,,,,,,,,,,34676769,97416189,,,,,,,,,,,,,,,,,,,,,,,,,4356378,11982311,,,,,,,
8527,bb66619adcea0cd6253c76d27ca7697f,Chasing Ice,/movie/Chasing-Ice,2012/11/16,National Geograph…,,,,,,,,,,,,,,,,,,612089,,,,,,,,,,,,,,,,,,,,,,,,,,76895,,,,,,,,
8428,e10cdd47efd7212511368ac197ffa1af,Anna Karenina,/movie/Anna-Karenina-(2012),2012/11/16,Focus Features,,,,,,,,,,,,,,,,,,11537763,1278604,,,,,,,,,,,,,,,,,,,,,,,,,1449467,157269,,,,,,,
8846,bee13c2b79c411dc4522a0da46f06774,Hitler's Children,/movie/Meine-Familie-die-Nazis-und-Ich,2012/11/16,Film Movement,,,,,,,,,,,,,,,,,,6923,19160,,,,,,,,,,,,,,,,,,,,,,,,,869,2356,,,,,,,
8877,f1e1c9a02153c83bed9dddc07d0b3032,The Man in the White Suit,/movie/Man-in-the-White-Suit-The,2012/11/16,Rialto Pictures,,,,,,,,,,,,,,,,,,3874,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,,,,
8841,1d593883b20c9f4fdd2d3f8e82205f1e,Price Check,/movie/Price-Check,2012/11/16,IFC Films,,,,,,,,,,,,,,,,,,7413,,,,,,,,,,,,,,,,,,,,,,,,,,931,,,,,,,,
8782,71ec1aaea996cd2bf78210d52213bf0b,Before My Heart Falls,/movie/Avant-que-mon-coeur-bascule,2012/11/16,Mongrel Media,,,,,,,,,,,,,,,,,,15753,,,,,,,,,,,,,,,,,,,,,,,,,,1979,,,,,,,,
9395,45166c73436103a26d21d35116f7032b,A Green Story,/movie/Green-Story-A,2012/11/16,Indican Pictures,,,,,,,,,,,,,,,,,,,12901,,,,,,,,,,,,,,,,,,,,,,,,,,1586,,,,,,,
8668,0549df593f52e29407c62de0014e1a78,Le prénom,/movie/prenom-Le,2012/11/16,Pathe Contemporar…,,,,,,,,,,,,,,,,,,61611,,,,,,,,,,,,,,,,,,,,,,,,,,7740,,,,,,,,
8374,42daba3588371ff9ced15b4d7d9ab15e,Red Dawn,/movie/Red-Dawn-(2010),2012/11/21,Open Road,,,,,,,,,,,,,,,,,,43877043,929740,,,,,,,,,,,,,,,,,,,,,,,,,5512191,114359,,,,,,,
8330,7e154b027760a9c2982d9ae0a65c67c0,Rise of the Guardians,/movie/Rise-of-the-Guardians,2012/11/21,Paramount Pictures,,,,,,,,,,,,,,,,,,97227667,6185091,,,,,,,,,,,,,,,,,,,,,,,,,12214531,760773,,,,,,,
8333,4344f085be0a8e6a41b93d5093b72780,Life of Pi,/movie/Life-of-Pi,2012/11/21,20th Century Fox,,,,,,,,,,,,,,,,,,91039488,33947534,,,,,,,,,,,,,,,,,,,,,,,,,11437121,4175588,,,,,,,
8513,544b21c9868aa516c6c8b875569e03e7,Rust & Bone,/movie/De-rouille-et-dos,2012/11/23,Sony Pictures Cla…,,,,,,,,,,,,,,,,,,866016,1195433,,,,,,,,,,,,,,,,,,,,,,,,,108795,147039,,,,,,,
8912,f6612804b6c4d08c7df2cc77f59ef88f,Gottfried Helnwein and the …,/movie/Gottfried-Helnwein-and-the-Dreaming-Child,2012/11/23,First Run Features,,,,,,,,,,,,,,,,,,601,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,
8790,fc1fa82b6b2f6881c6500c54221b117e,Tristana,/movie/Tristana,2012/11/23,Cohen Media Group,,,,,,,,,,,,,,,,,,14586,,,,,,,,,,,,,,,,,,,,,,,,,,1832,,,,,,,,
8567,7a59905e342f22455e74ceba85c8942f,The Central Park Five,/movie/Central-Park-Five-The,2012/11/23,IFC Films,,,,,,,,,,,,,,,,,,273747,51906,,,,,,,,,,,,,,,,,,,,,,,,,34390,6384,,,,,,,
8445,080170dd7fb92e7e36550bc9a0c27196,Hitchcock,/movie/Hitchcock,2012/11/23,Fox Searchlight,,,,,,,,,,,,,,,,,,5488896,519781,,,,,,,,,,,,,,,,,,,,,,,,,689559,63933,,,,,,,
8580,f5a0ba0b652d898f53230ba52925348f,Back to 1942,/movie/Yi-jiu-si-er,2012/11/30,China Lion Film D…,,,,,,,,,,,,,,,,,,212475,,,,,,,,,,,,,,,,,,,,,,,,,,26692,,,,,,,,
8606,105f2cc1c8ec60fec6b47d3fc4bb9416,Hecho en México,/movie/Hecho-en-Mexico,2012/11/30,Lionsgate,,,,,,,,,,,,,,,,,,151133,,,,,,,,,,,,,,,,,,,,,,,,,,18986,,,,,,,,
8629,29ecab0ef760b42a6841cb9231b77031,Therese Desqueyroux,/movie/Therese-Desqueyroux,2012/11/30,Mongrel Media,,,,,,,,,,,,,,,,,,117179,109376,,,,,,,,,,,,,,,,,,,,,,,,,14720,13453,,,,,,,
8472,6d72c1693f59f2ab6d3bed53622d4e28,Talaash,/movie/Talaash,2012/11/30,Reliance Big Pict…,,,,,,,,,,,,,,,,,,2706375,,,,,,,,,,,,,,,,,,,,,,,,,,339996,,,,,,,,
8419,5095e5e6424c9495e402bb603ac4ba12,Killing Them Softly,/movie/Killing-Them-Softly,2012/11/30,Weinstein Co.,,,,,,,,,,,,,,,,,,14904981,40560,,,,,,,,,,,,,,,,,,,,,,,,,1872485,4988,,,,,,,
8804,59af6b25e60ea265f36112c6171c8eca,California Solo,/movie/California-Solo,2012/11/30,Strand,,,,,,,,,,,,,,,,,,12952,1566,,,,,,,,,,,,,,,,,,,,,,,,,1627,192,,,,,,,
8808,8365963d2c89feb351b500de82dba370,Dragon,/movie/Wu-Xia,2012/11/30,Weinstein Co.,,,,,,,,,,,,,,,,,,11300,,,,,,,,,,,,,,,,,,,,,,,,,,1419,,,,,,,,
8862,2e76750289b88bec30556e8a9217b429,Universal Soldier: Day of R…,/movie/Universal-Soldier-Day-of-Reckoning,2012/11/30,Magnet Pictures,,,,,,,,,,,,,,,,,,5460,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,,
8861,b7fa40c5ceb4069a64de5cf0c98f11ed,Young and Wild,/movie/Joven-y-alocada,2012/11/30,IFC Films,,,,,,,,,,,,,,,,,,5514,,,,,,,,,,,,,,,,,,,,,,,,,,692,,,,,,,,
8440,8e37611783c3162bcaaa0d7f85582efb,The Collection,/movie/Collection-The,2012/11/30,LD Distribution,,,,,,,,,,,,,,,,,,6810754,,,,,,,,,,,,,,,,,,,,,,,,,,855622,,,,,,,,
8555,6e26c4e3882d28632f96349426d91f77,A Werewolf Boy,/movie/Neuk-dae-so-nyeon,2012/11/30,CJ Entertainment,,,,,,,,,,,,,,,,,,338876,4046,,,,,,,,,,,,,,,,,,,,,,,,,42572,497,,,,,,,
8676,dcb8219acd76deb686f33a214e8b508f,Beware of Mr. Baker,/movie/Beware-of-Mr-Baker,2012/11/30,SnagFilms,,,,,,,,,,,,,,,,,,53371,63105,,,,,,,,,,,,,,,,,,,,,,,,,6704,7761,,,,,,,
8791,aa9655df5c1f259cdb4249efb3a8e2d3,Silent Night,/movie/Silent-Night,2012/11/30,Anchor Bay Entert…,,,,,,,,,,,,,,,,,,14568,,,,,,,,,,,,,,,,,,,,,,,,,,1830,,,,,,,,
8681,b1f635b647cc0c965fc3f286bbf74d36,The Fitzgerald Family Chris…,/movie/Fitzgerald-Family-Christmas-The,2012/12/07,TriBeca Films,,,,,,,,,,,,,,,,,,50292,,,,,,,,,,,,,,,,,,,,,,,,,,6318,,,,,,,,
8665,37471172789c679d6b3e32b92a7ba76b,Deadfall,/movie/Deadfall,2012/12/07,Magnolia Pictures,,,,,,,,,,,,,,,,,,63638,2713,,,,,,,,,,,,,,,,,,,,,,,,,7994,333,,,,,,,
8549,8710af60be3d991ff5b7e63e0a42daae,Khiladi 786,/movie/Khiladi-786,2012/12/07,Eros Entertainment,,,,,,,,,,,,,,,,,,385422,,,,,,,,,,,,,,,,,,,,,,,,,,48419,,,,,,,,
8850,b27dfccf70755f7451b15c2d93c7d319,In Our Nature,/movie/In-Our-Nature,2012/12/07,Cinedigm,,,,,,,,,,,,,,,,,,6543,,,,,,,,,,,,,,,,,,,,,,,,,,821,,,,,,,,
8424,d66ca4444275fe2e4d0424a077ba241c,Playing for Keeps,/movie/Playing-for-Keeps-(2011),2012/12/07,FilmDistrict,,,,,,,,,,,,,,,,,,12851597,251675,,,,,,,,,,,,,,,,,,,,,,,,,1614522,30956,,,,,,,
8728,51ebc51fbe74aa13b3bd0ed87b6bc48d,Wagner & Me,/movie/Wagner-and-Me,2012/12/07,First Run Features,,,,,,,,,,,,,,,,,,29187,8558,,,,,,,,,,,,,,,,,,,,,,,,,3666,1052,,,,,,,
8855,a418847c48dec04d9a81bae8d9927aa0,The Man Who Shook the Hand …,/movie/Man-Who-Shook-the-Hand-of-Vicente-Fernandez-The,2012/12/07,Indican Pictures,,,,,,,,,,,,,,,,,,5994,4758,,,,,,,,,,,,,,,,,,,,,,,,,753,585,,,,,,,
8872,913a511417fd7d2abafe4e78248159b9,The Rabbi's Cat,/movie/Chat-du-rabbin-Le,2012/12/07,GKIDS,,,,,,,,,,,,,,,,,,4301,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,
8814,6c9e38d642992e6822f8bd673b0d4f85,Tchoupitoulas,/movie/Tchoupitoulas,2012/12/07,Oscilloscope Pict…,,,,,,,,,,,,,,,,,,10431,8944,,,,,,,,,,,,,,,,,,,,,,,,,1310,1100,,,,,,,
8464,af6cd7fa1e71d1592169f753014ea6d7,Hyde Park on Hudson,/movie/Hyde-Park-on-the-Hudson,2012/12/07,Focus Features,,,,,,,,,,,,,,,,,,3209885,3166260,,,,,,,,,,,,,,,,,,,,,,,,,403251,389453,,,,,,,
8880,144bb19dc7a8ee852611ed6861409d0f,Yangsi,/movie/Yangsi,2012/12/07,Alive Mind,,,,,,,,,,,,,,,,,,3685,,,,,,,,,,,,,,,,,,,,,,,,,,462,,,,,,,,
8890,acece5d25ac7e33ecb22e820b180a8d3,Cheerful Weather for the We…,/movie/Cheerful-Weather-for-the-Wedding,2012/12/07,IFC Films,,,,,,,,,,,,,,,,,,2651,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,
8845,8fdb2a8b6684592a02cb114d8c4be667,Only the Young,/movie/Only-the-Young,2012/12/07,Oscilloscope Pict…,,,,,,,,,,,,,,,,,,7138,8174,,,,,,,,,,,,,,,,,,,,,,,,,896,1005,,,,,,,
8755,69303014b64617cbde9393338ecf1fb4,Lay the Favorite,/movie/Lay-the-Favorite,2012/12/07,Radius,,,,,,,,,,,,,,,,,,20998,,,,,,,,,,,,,,,,,,,,,,,,,,2637,,,,,,,,
8761,818a17309776ee072ed5528989f4acc0,Waiting for Lightning,/movie/Waiting-for-Lightning,2012/12/07,Samuel Goldwyn Films,,,,,,,,,,,,,,,,,,19537,,,,,,,,,,,,,,,,,,,,,,,,,,2454,,,,,,,,
8875,3c8a2365d1ea64c64e35a9ac3695ba42,The Loving Story,/movie/Loving-Story-The,2012/12/10,Icarus Films,,,,,,,,,,,,,,,,,,4218,,,,,,,,,,,,,,,,,,,,,,,,,,529,,,,,,,,
8883,e39f03eea8fa4b0a41457f25559148fa,Let Fury Have the Hour,/movie/Let-Fury-Have-the-Hour,2012/12/14,CAVU Releasing,,,,,,,,,,,,,,,,,,3386,,,,,,,,,,,,,,,,,,,,,,,,,,425,,,,,,,,
8307,020a5b86009815d6409b03f184abb03d,The Hobbit: An Unexpected J…,/movie/Hobbit-An-Unexpected-Journey-The,2012/12/14,Warner Bros.,,,,,,,,,,,,,,,,,,263834893,39168675,,,,,,,,,,,,,,,,,,,,,,,,,33145087,4817795,,,,,,,
8903,5af53fad35f5bb27f2a70690f3ba26be,Jason Becker: Not Dead Yet,/movie/Jason-Becker-Not-Dead-Yet,2012/12/14,Kino Lorber,,,,,,,,,,,,,,,,,,1294,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,
8859,f17496cdcaf9e7c041158b705f951ebf,Save the Date,/movie/Save-the-Date,2012/12/14,IFC Films,,,,,,,,,,,,,,,,,,5719,,,,,,,,,,,,,,,,,,,,,,,,,,718,,,,,,,,
8620,977e57e8179924cf1ff05284a83b0ade,Any Day Now,/movie/Any-Day-Now,2012/12/14,Music Box Films,,,,,,,,,,,,,,,,,,129391,72004,,,,,,,,,,,,,,,,,,,,,,,,,16255,8856,,,,,,,
8471,bdc95e5278d0802f37e2d98d9a5281fd,The Met: Live in HD - Aida,/movie/Met-Live-in-HD-Aida-The,2012/12/15,NCM Fathom,,,,,,,,,,,,,,,,,,2800000,,,,,,,,,,,,,,,,,,,,,,,,,,351758,,,,,,,,
8449,97e785dd9330e29fcadd80aed24d85ae,Zero Dark Thirty,/movie/Zero-Dark-Thirty,2012/12/19,Sony Pictures,,,,,,,,,,,,,,,,,,4406138,91314578,,,,,,,,,,,,,,,,,,,,,,,,,553534,11231805,,,,,,,
8562,032c07c54e928eda4da579362f0738d7,Amour,/movie/Amour,2012/12/19,Sony Pictures Cla…,,,,,,,,,,,,,,,,,,311247,6427707,,,,,,,,,,,,,,,,,,,,,,,,,39101,790615,,,,,,,
8391,456f7d346560508de4ad79fa7aa5bdae,The Guilt Trip,/movie/Guilt-Trip-The,2012/12/19,Paramount Pictures,,,,,,,,,,,,,,,,,,31111882,6022333,,,,,,,,,,,,,,,,,,,,,,,,,3908527,740754,,,,,,,
9131,79e0557f1700ddb5fdbb731e777a64c7,On the Road,/movie/On-the-Road,2012/12/21,IFC Films,,,,,,,,,,,,,,,,,,,720828,,,,,,,,,,,,,,,,,,,,,,,,,,88662,,,,,,,
8431,1c9be0b0cb68726ac4e5daab1947f6ef,Cirque du Soleil: Worlds Away,/movie/Cirque-du-Soleil-Worlds-Away,2012/12/21,Paramount Pictures,,,,,,,,,,,,,,,,,,10878362,1634500,,,,,,,,,,,,,,,,,,,,,,,,,1366628,201045,,,,,,,
8345,511b78f9ae22044ddb3ba3e147161317,Jack Reacher,/movie/Jack-Reacher,2012/12/21,Paramount Pictures,,,,,,,,,,,,,,,,,,64697214,15373522,,,,,,,,,,,,,,,,,,,,,,,,,8127790,1890962,,,,,,,
8477,d1c2a598796cb2e3c512b259fe8e7ae7,Dabangg 2,/movie/Dabangg-2,2012/12/21,Eros Entertainment,,,,,,,,,,,,,,,,,,2474674,,,,,,,,,,,,,,,,,,,,,,,,,,310888,,,,,,,,
8544,b77c92a62ceab97f4b61429faf9de743,Not Fade Away,/movie/Not-Fade-Away,2012/12/21,Paramount Vantage,,,,,,,,,,,,,,,,,,416886,193906,,,,,,,,,,,,,,,,,,,,,,,,,52372,23850,,,,,,,
8772,3f2d05b429c71b4b80f16b549174c775,Django,/movie/Django,2012/12/21,Rialto Pictures,,,,,,,,,,,,,,,,,,17277,2114,,,,,,,,,,,,,,,,,,,,,,,,,2170,260,,,,,,,
8459,029f44cef4480cad264dad1a20cc9e58,The Impossible,/movie/Impossible-The,2012/12/21,Lionsgate,,,,,,,,,,,,,,,,,,3412413,15607469,,,,,,,,,,,,,,,,,,,,,,,,,428695,1919737,,,,,,,
8358,cb68baf9e555f41d4de3510eb3bc902a,This is 40,/movie/This-is-40,2012/12/21,Universal,,,,,,,,,,,,,,,,,,54255195,13289310,,,,,,,,,,,,,,,,,,,,,,,,,6815979,1634601,,,,,,,
8329,1a2bebdc32e218557356cbfa8620fe4b,Les Misérables,/movie/Miserables-Les-(2012),2012/12/25,Universal,,,,,,,,,,,,,,,,,,103503040,45306730,,,,,,,,,,,,,,,,,,,,,,,,,13002894,5572783,,,,,,,
8361,c633cd143487f7424c900f6d0926c915,Parental Guidance,/movie/Parental-Guidance,2012/12/25,20th Century Fox,,,,,,,,,,,,,,,,,,52339698,24927598,,,,,,,,,,,,,,,,,,,,,,,,,6575338,3066125,,,,,,,
8327,f57d5c8ad631fd2f17a8d2ce37c53050,Django Unchained,/movie/Django-Unchained,2012/12/25,Weinstein Co.,,,,,,,,,,,,,,,,,,106280122,56525312,,,,,,,,,,,,,,,,,,,,,,,,,13351774,6952682,,,,,,,
8703,c4e996229231cb8398b5b7ba8d2f2dbb,West of Memphis,/movie/West-of-Memphis,2012/12/25,Sony Pictures Cla…,,,,,,,,,,,,,,,,,,39159,270705,,,,,,,,,,,,,,,,,,,,,,,,,4919,33297,,,,,,,
8450,68a9a6b10f121824cb8e6e0f78c21dc2,Promised Land,/movie/Promised-Land-(2011),2012/12/28,Focus Features,,,,,,,,,,,,,,,,,,4395439,3202459,,,,,,,,,,,,,,,,,,,,,,,,,552190,393906,,,,,,,
8909,60c4b93d7eda80cc5683711c77aee178,A Dark Truth,/movie/Dark-Truth-A,2013/01/04,Magnolia Pictures,,,,,,,,,,,,,,,,,,630,5120,,,,,,,,,,,,,,,,,,,,,,,,,79,629,,,,,,,
8402,01771a67f56233b5fa1bb79dfd88c675,Texas Chainsaw 3D,/movie/Texas-Chainsaw-3D-(2013),2013/01/04,Lionsgate,,,,,,,,,,,,,,,,,,21744470,12597475,,,,,,,,,,,,,,,,,,,,,,,,,2731717,1549504,,,,,,,
8751,8fbf2784a35c606f90e1f0713a3aaa85,56 Up,/movie/56-Up,2013/01/04,First Run Features,,,,,,,,,,,,,,,,,,22088,679190,,,,,,,,,,,,,,,,,,,,,,,,,2774,83541,,,,,,,
9098,849ad5965bc054af3686883155bf5fae,Seethamma Vakitlo Sirimalle…,/movie/Seethamma-Vakitlo-Sirimalle-Chettu,2013/01/10,Ficus,,,,,,,,,,,,,,,,,,,1582476,,,,,,,,,,,,,,,,,,,,,,,,,,194646,,,,,,,
9025,cadf5dc030e2982b7e8ec97717ee3af6,Quartet,/movie/Quartet,2013/01/11,Weinstein Co.,,,,,,,,,,,,,,,,,,,18388357,,,,,,,,,,,,,,,,,,,,,,,,,,2261790,,,,,,,
9338,3d8fcfb3cfac43b9218228ce315e21e1,Struck by Lightning,/movie/Struck-By-Lightning,2013/01/11,TriBeca Films,,,,,,,,,,,,,,,,,,,28378,,,,,,,,,,,,,,,,,,,,,,,,,,3490,,,,,,,
9515,f1fb1e24471ddd02137a10cb93f59476,Storage 24,/movie/Storage-24,2013/01/11,Magnet Pictures,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
8983,cf8495e2e0864b647e6db75f6e5f30f0,Gangster Squad,/movie/Gangster-Squad-The,2013/01/11,Warner Bros.,,,,,,,,,,,,,,,,,,,46000903,,,,,,,,,,,,,,,,,,,,,,,,,,5658167,,,,,,,
8990,8af92f4afc4159f24c59bee9f5ea4361,A Haunted House,/movie/Haunted-House-A,2013/01/11,Open Road,,,,,,,,,,,,,,,,,,,40041683,,,,,,,,,,,,,,,,,,,,,,,,,,4925176,,,,,,,
9372,cf0b8267df666f575dff79ac3a94470f,Let My People Go!,/movie/Let-My-People-Go,2013/01/11,Zeitgeist,,,,,,,,,,,,,,,,,,,18529,,,,,,,,,,,,,,,,,,,,,,,,,,2279,,,,,,,
9038,a4c002fb1c45bcca22afa00b29fabbad,The Last Stand,/movie/Last-Stand-The,2013/01/18,Lionsgate,,,,,,,,,,,,,,,,,,,12050299,,,,,,,,,,,,,,,,,,,,,,,,,,1482201,,,,,,,
9502,2b44e4f437f4cad73897d6c08e31434a,Officer Down,/movie/Officer-Down,2013/01/18,Anchor Bay Entert…,,,,,,,,,,,,,,,,,,,1463,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,
9019,3573ab5ef45c13e251f69375c261cb87,Broken City,/movie/Broken-City,2013/01/18,20th Century Fox,,,,,,,,,,,,,,,,,,,19701164,,,,,,,,,,,,,,,,,,,,,,,,,,2423267,,,,,,,
9206,0d1f07f990d479bddccfb013c538703e,LUV,/movie/LUV,2013/01/18,Indomina Releasing,,,,,,,,,,,,,,,,,,,156996,,,,,,,,,,,,,,,,,,,,,,,,,,19310,,,,,,,
9351,9d3ea5b21f4031971176469df971eb49,Greenwich Village: Music Th…,/movie/Greenwich-Village-Music-That-Defined-a-Generation,2013/01/18,Kino Lorber,,,,,,,,,,,,,,,,,,,23701,,,,,,,,,,,,,,,,,,,,,,,,,,2915,,,,,,,
8959,fb0dcf57d7368adfaa5586bde46d5b29,Mama,/movie/Mama,2013/01/18,Universal,,,,,,,,,,,,,,,,,,,71628180,,,,,,,,,,,,,,,,,,,,,,,,,,8810354,,,,,,,
9480,406b14032e5e95b7b683c07c099522b1,Cornouaille,/movie/Cornouaille,2013/01/18,Mongrel Media,,,,,,,,,,,,,,,,,,,2847,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,
9420,f6ab888569e07814d690a2b0ed2d975b,La pirogue,/movie/pirogue-La,2013/01/23,ArtMattan Product…,,,,,,,,,,,,,,,,,,,8836,,,,,,,,,,,,,,,,,,,,,,,,,,1086,,,,,,,
9028,3305ff2348d6ca0615f5ee09bb23ab52,Parker,/movie/Parker,2013/01/25,FilmDistrict,,,,,,,,,,,,,,,,,,,17616641,,,,,,,,,,,,,,,,,,,,,,,,,,2166868,,,,,,,
9213,46c31e0f665ef761ebc2a4d76e041c81,John Dies at the End,/movie/John-Dies-at-the-End,2013/01/25,Magnet Pictures,,,,,,,,,,,,,,,,,,,141951,,,,,,,,,,,,,,,,,,,,,,,,,,17460,,,,,,,
8975,242e9b2701a5b784ed1187aa7603df8b,Hansel & Gretel: Witch Hunters,/movie/Hansel-and-Gretel-Witch-Hunters,2013/01/25,Paramount Pictures,,,,,,,,,,,,,,,,,,,55703475,,,,,,,,,,,,,,,,,,,,,,,,,,6851595,,,,,,,
9453,62084ed6ef7ed4854a04344cb41c2225,Supporting Characters,/movie/Supporting-Characters,2013/01/25,TriBeca Films,,,,,,,,,,,,,,,,,,,4917,,,,,,,,,,,,,,,,,,,,,,,,,,604,,,,,,,
9230,f9dbb36125de3ef3487d85ef86bb0d84,Yossi,/movie/Ha-Sippur-Shel-Yossi,2013/01/25,Strand,,,,,,,,,,,,,,,,,,,116207,,,,,,,,,,,,,,,,,,,,,,,,,,14293,,,,,,,
9045,8c185b22c596e0fd73fff6df04f752cb,Movie 43,/movie/Movie-43,2013/01/25,Relativity,,,,,,,,,,,,,,,,,,,8840453,,,,,,,,,,,,,,,,,,,,,,,,,,1087386,,,,,,,
9495,790e7b0df7005b062b4e75cc7433ba9d,Knife Fight,/movie/Knife-Fight,2013/01/25,IFC Films,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,
9099,cd880860db4586f887f4f125f5b3f056,Race 2,/movie/Race-2,2013/01/25,UTV Communications,,,,,,,,,,,,,,,,,,,1579940,,,,,,,,,,,,,,,,,,,,,,,,,,194334,,,,,,,
9150,9c4f8e610f4dbed47237fffc5bd898c9,Sound City,/movie/Sound-City,2013/01/31,Variance Films,,,,,,,,,,,,,,,,,,,422853,,,,,,,,,,,,,,,,,,,,,,,,,,52011,,,,,,,
9315,577749a8bc238c72382fbaed0dfb928d,Mumia: Long Distance Revolu…,/movie/Mumia-Long-Distance-Revolutionary,2013/02/01,First Run Features,,,,,,,,,,,,,,,,,,,37731,,,,,,,,,,,,,,,,,,,,,,,,,,4640,,,,,,,
8965,c52d5bb14a81be91e799c8c32c898dee,Warm Bodies,/movie/Warm-Bodies,2013/02/01,Lionsgate,,,,,,,,,,,,,,,,,,,66380662,,,,,,,,,,,,,,,,,,,,,,,,,,8164903,,,,,,,
9042,e0e39731e5a98a5f52b46dbdc9f46e60,Bullet to the Head,/movie/Bullet-to-the-Head,2013/02/01,Warner Bros.,,,,,,,,,,,,,,,,,,,9489829,,,,,,,,,,,,,,,,,,,,,,,,,,1167260,,,,,,,
9086,11016a75cf9f3c727c89750ef4533ebb,2013 Oscar Shorts,/movie/2013-Oscar-Shorts,2013/02/01,Shorts International,,,,,,,,,,,,,,,,,,,2142342,,,,,,,,,,,,,,,,,,,,,,,,,,263510,,,,,,,
9345,7033c6dd23361af7024b79b17ecf8a11,Little Fugitive,/movie/Little-Fugitive,2013/02/01,APD/Cinema Conser…,,,,,,,,,,,,,,,,,,,26121,3384,,,,,,,,,,,,,,,,,,,,,,,,,3212,414,,,,,,
9166,d28f4fac083a765415c2f84750b7896c,Koch,/movie/Koch,2013/02/01,Zeitgeist,,,,,,,,,,,,,,,,,,,342941,,,,,,,,,,,,,,,,,,,,,,,,,,42182,,,,,,,
9079,5fcabffe75d763b0b5881582eb3770a6,The Gatekeepers,/movie/Gatekeepers-The,2013/02/01,Sony Pictures Cla…,,,,,,,,,,,,,,,,,,,2408553,,,,,,,,,,,,,,,,,,,,,,,,,,296254,,,,,,,
