,id,movie,link,date,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
12620,188258ade87ac6f25d3eb0824cee4d68,Senso,/movie/Senso-(Italy)-(1954),1968/07/08,Fleetwood Films,,,,,,,,,,,,,,,,,,,,,,,,27286,437,,,,,,,,,,,,,,,,,,,,,,,,,2995,47,
11641,961fa616372ddc2a9594068995f4c706,Night of the Living Dead,/movie/Night-of-the-Living-Dead-(1968),1968/10/01,Walter Reade Orga…,,,,,,,,,,,,,,,,,,,,,,,12087064,,,,,,,,,,,,,,,,,,,,,,,,,,1347498,,,
11396,389aefcf7ed97b223693d36549c2699f,The Lion in Winter,/movie/Lion-in-Winter-The-(UK),1968/10/30,,,,,,,,,,,,,,,,,,,,,,,17024,1025,,,,,,,,,,,,,,,,,,,,,,,,,1968,114,,,
12378,7b11e6c5e43c0fb15d9e56f6ab804b15,Yellow Submarine,/movie/Yellow-Submarine,1968/11/13,United Artists,,,,,,,,,,,,,,,,,,,,,,,,993385,,,,,,,,,,,,,,,,,,,,,,,,,,109043,,
253,6380c97cd5783885a6fef7226b0a87d9,The Wild Bunch,/movie/Wild-Bunch-The,1969/06/18,Warner Bros.,509424,,,,,,,,,,,,,,,,,,,,,,,,,,117108,,,,,,,,,,,,,,,,,,,,,,,,,
3578,b9ba2f4af07531ac6e939de6ba906830,Muhammad Ali: The Greatest,/movie/Muhammad-Ali-The-Greatest,1969/11/21,,,,,,,,,,20073,,,,,,,,,,,,,,,,,,,,,,,,,,3328,,,,,,,,,,,,,,,,,
3548,7022ded9b7fa3d1d8b22ac8c3f355c6d,Balthazar,/movie/Au-Hasard-Balthazar,1970/02/19,Rialto Pictures,,,,,,,,,39388,,,,,,,,,,,,,,,,,,,,,,,,,,6532,,,,,,,,,,,,,,,,,
6411,690d304a4628c636ac7930d6644546a2,The Wild Child,/movie/Enfant-sauvage-L,1970/09/09,The Film Desk,,,,,,,,,,,,,,24973,34208,3762,,,,,,,,,,,,,,,,,,,,,,,,3478,4561,476,,,,,,,,,,
11105,50e20ef0b687d404ba8c84184d947b6e,Willy Wonka & the Chocolate…,/movie/Willy-Wonka-and-the-Chocolate-Factory,1971/06/30,,,,,,,,,,,,,,,,,,,,,,,526633,,,,,,,,,,,,,,,,,,,,,,,,,,60882,,,,
640,0fcb444c54d8d8cf94a4064365d40870,The Godfather,/movie/Godfather-The,1972/03/15,Paramount Pictures,,,129141981,,,,,,,,,,,,,,,,,,,,,,,,,,28135507,,,,,,,,,,,,,,,,,,,,,,,
12637,e2ae9f78e0947a4f61ce20e6d3e0e76c,Ganja & Hess,/movie/Ganja-and-Hess,1973/04/23,,,,,,,,,,,,,,,,,,,,,,,,,21344,,,,,,,,,,,,,,,,,,,,,,,,,,2342,,
1280,c488fc759f20de214e552a5035d8e8cd,Mean Streets,/movie/Mean-Streets,1973/10/02,Warner Bros.,,,,32645,,,,,,,,,,,,,,,,,,,,,,,,,,6960,,,,,,,,,,,,,,,,,,,,,,
12517,3a401f81037d39e532b5fd5c90071955,Andrei Rublev,/movie/Andrey-Rublyov-(Soviet-Union)-(1966),1973/10/31,Columbia,,,,,,,,,,,,,,,,,,,,,,,,102023,,,,,,,,,,,,,,,,,,,,,,,,,,11199,,
1824,66bd0482169325ea2be5143af44ff8a4,The Exorcist,/movie/Exorcist-The,1973/12/26,Warner Bros.,,,,,,37112212,,,,,,,,,,235134,,,,,,,,,,,,,,,,6885382,,,,,,,,,,29802,,,,,,,,,,
4057,2f1eb05f3adc5d99f1bbcda5050fe9b4,Hearts and Minds,/movie/Hearts-and-Minds,1974/01/01,Rialto Pictures,,,,,,,,,,28287,,,,,,,,,,,,,,,,,,,,,,,,,,4555,,,,,,,,,,,,,,,,
9279,25c126af364a30a00b6a2e600cff95c5,The Wicker Man,/movie/Wicker-Man-The-(1975),1974/08/07,Warner Bros.,,,,,,,,,,,,,,,,,,,58341,,,,,,,,,,,,,,,,,,,,,,,,,,7176,,,,,,,
6883,4444b8112a2803eb87088192e2ebc492,Amarcord,/movie/Amarcord,1974/09/19,,,,,,,,,,,,,,,,128051,3326,,,,,,,,,,,,,,,,,,,,,,,,,17073,421,,,,,,,,,,
12672,fbbed77e09603fda5f5745b42329c7b2,Stavisky,/movie/Stavisky-(France),1974/12/22,Cinemation Indust…,,,,,,,,,,,,,,,,,,,,,,,,13139,,,,,,,,,,,,,,,,,,,,,,,,,,1442,,
7664,1bae6bd67b6f6c01157ef90def82ea63,Promised Lands,/movie/Promised-Lands,1974/12/31,The Film Desk,,,,,,,,,,,,,,,,4149,397,,,,,,,,,,,,,,,,,,,,,,,,,525,50,,,,,,,,,
4395,2e814c2d987b4c9d29ece924258d2c53,The Passenger,/movie/Professione-reporter-(Italy)(1975),1975/04/09,Sony Pictures Cla…,,,,,,,,,,,509648,110096,,,,,,,,,,,,,,,,,,,,,,,,,79508,16808,,,,,,,,,,,,,,
2415,901a00e3e195e043dc8f707bc4d4a34f,Monty Python and the Holy G…,/movie/Monty-Python-and-the-Holy-Grail-(1975),1975/05/10,,,,,,,,3194949,169974,62773,,,,,,,,,,,,,,,,,,,,,,,,564478,29255,10410,,,,,,,,,,,,,,,,,
10431,fac04d07a17b49bcdc369606658d98d0,The Rocky Horror Picture Show,/movie/Rocky-Horror-Picture-Show-The,1975/09/26,20th Century Fox,,,,,,,,,,,,,,,,,,,,,364600,269000,400000,360000,,,,,,,,,,,,,,,,,,,,,,,43250,31098,44593,39517,,
549,6eabfeb2eaae0af07f3e5e5dd1dfd215,Taxi Driver,/movie/Taxi-Driver,1976/02/08,Columbia,,378678,,,,,,,,,,,,,,,,,,,,,,,,,,85673,,,,,,,,,,,,,,,,,,,,,,,,
13076,b2ca9d680b5691f00d4c1e31b8225bcb,Mr. Klein,/movie/Mr-Klein-(France),1977/11/06,Quartet Films,,,,,,,,,,,,,,,,,,,,,,,,,189718,3310,,,,,,,,,,,,,,,,,,,,,,,,,20711,361
11687,2abbd8f3cbcce4203be7219414e28b10,Close Encounters of the Thi…,/movie/Close-Encounters-of-the-Third-Kind,1977/11/16,Columbia,,,,,,,,,,,,,,,,,,,,,,,3100479,,,,,,,,,,,,,,,,,,,,,,,,,,345650,,,
639,a1625f1e8691e745afc41ce530d429d7,Star Wars Ep. IV: A New Hope,/movie/Star-Wars-Ep-IV-A-New-Hope,1978/07/21,20th Century Fox,,,138133173,,,,,,,,,,,,,,,,,,,,,,,,,,30094373,,,,,,,,,,,,,,,,,,,,,,,
13349,f41914f22e558d65630fb6f0ea39a377,Halloween,/movie/Halloween-(1978),1978/10/17,Compass Internati…,,,,,,,,,,,,,,,,,,,,,,,,,,47274000,,,,,,,,,,,,,,,,,,,,,,,,,,5160917
3360,344539dd194478b64d89c2c804a4fb5e,Alien,/movie/Alien-(1979),1979/05/25,20th Century Fox,,,,,,,,,1719795,,,,,,,,,,,,,,,,,75000,,,,,,,,,285206,,,,,,,,,,,,,,,,,8187
10986,a911e29fde7f3f39fbd98826f153f3b3,The Wanderers,/movie/Wanderers-The,1979/07/13,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,5017811,,,,,,,,,,,,,,,,,,,,,,,,,,580093,,,,
2405,eb539c8244b3d3ce0b3c1f6d19e548ff,Apocalypse Now,/movie/Apocalypse-Now,1979/08/15,United Artists,,,,,,,4591287,,,,,,,,,,,,,,,,,,,,,,,,,,811181,,,,,,,,,,,,,,,,,,,
3743,246ca024b26d2ad6d5fccb3915c49450,The Life of Brian,/movie/Life-of-Brian-(UK)-(1979),1979/08/17,Warner Bros.,,,,,,,,,,19904244,,,,,,,,,,,,,,,138071,,,,,,,,,,,3205192,,,,,,,,,,,,,,,15073,
12253,e1f3a061383e60cbc6d1ae50c2e0c314,The Fog,/movie/Fog-The-(1980),1980/02/01,Avco Embassy,,,,,,,,,,,,,,,,,,,,,,,,21445318,,,,,,,,,,,,,,,,,,,,,,,,,,2354041,,
13143,659b1f1fa235194d43fda3dbdefcf030,Christ Stopped at Eboli,/movie/Cristo-si-e-fermato-a-Eboli-(Italy)-(1979),1980/03/23,Franklin Media,,,,,,,,,,,,,,,,,,,,,,,,,80868,1258,,,,,,,,,,,,,,,,,,,,,,,,,8828,137
13003,f8f7bf97869361bc4192d18255e07fe1,The Shining,/movie/Shining-The,1980/05/23,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,551257,,,,,,,,,,,,,,,,,,,,,,,,,,60181,
4538,91874cb8001d142dc24d80d2416d6924,Raging Bull,/movie/Raging-Bull,1980/11/14,United Artists,,,,,,,,,,,45250,,,,,,,,,,,,,,,,,,,,,,,,,,7059,,,,,,,,,,,,,,,
10336,5d874798cb1ea64c17232e2645411482,Roar,/movie/Roar,1981/01/01,,,,,,,,,,,,,,,,,,,,,,2110050,,,,,,,,,,,,,,,,,,,,,,,,,,250302,,,,,
8465,8577af3c46a1b4442ebcfe6dadcec5f6,Raiders of the Lost Ark,/movie/Raiders-of-the-Lost-Ark,1981/06/12,Paramount Pictures,,,,,,,,,,,,,,,,,,3125613,,,,,,,,,,,,,,,,,,,,,,,,,,392664,,,,,,,,
