,tconst,movie,link,runtime,genres,day,month,year,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
37,tt0060908,King of Hearts,/movie/roi-de-coeur-Le-(France),102,"Comedy,Drama,War",19,06,1967,Lopert Pictures C…,,,,,,,,,,,,,,,,,,,,,,,,17646.0,,,,,,,,,,,,,,,,,,,,,,,,,,1936.0,,
38,tt0031381,Gone with the Wind,/movie/Gone-with-the-Wind,238,"Drama,History,Romance",14,10,1967,MGM,,,,6750112.0,,,,,,,,,,,,,,,,,,,,,,,,,,1439256.0,,,,,,,,,,,,,,,,,,,,,,
39,tt0061722,The Graduate,/movie/Graduate-The,106,"Comedy,Drama,Romance",21,12,1967,Embassy,,,75702.0,,,,,,,,,,,,,,,18574.0,,,,,,,,,,,16492.0,,,,,,,,,,,,,,,2333.0,,,,,,,,
40,tt0063771,The Two of Us,/movie/Vieil-homme-et-l-enfant-Le-(France),90,"Comedy,Drama",19,02,1968,Cinema V,,,,,,,,,,,50710.0,,,,,,,,,,,,,,,,,,,,,,,,,,7911.0,,,,,,,,,,,,,,,
41,tt0062622,2001: A Space Odyssey,/movie/2001-A-Space-Odyssey,149,"Adventure,Sci-Fi",02,04,1968,MGM,,,,,,,239621.0,,,,,,,,,,,,214618.0,135370.0,,,,3236321.0,,,,,,,,,42336.0,,,,,,,,,,,,26398.0,16569.0,,,,355249.0,,
42,tt0061395,Belle de Jour,/movie/Belle-de-Jour,100,"Drama,Romance",10,04,1968,Miramax,4030203.0,,,,,,,,,,,,,,,,,,,,,,,26331.0,,,926483.0,,,,,,,,,,,,,,,,,,,,,,,2890.0,,
43,tt0063794,War and Peace,/movie/Voyna-i-mir-(Soviet-Union)-(1966),,,28,04,1968,Continental Distr…,,,,,,,,,,,,,,,,,,,,,,,,,148557.0,,,,,,,,,,,,,,,,,,,,,,,,,,16218.0,
44,tt0047469,Senso,/movie/Senso-(Italy)-(1954),123,"Drama,History,Romance",08,07,1968,Fleetwood Films,,,,,,,,,,,,,,,,,,,,,,,,27286.0,437.0,,,,,,,,,,,,,,,,,,,,,,,,,2995.0,47.0,
45,tt0063350,Night of the Living Dead,/movie/Night-of-the-Living-Dead-(1968),96,"Horror,Thriller",01,10,1968,Walter Reade Orga…,,,,,,,,,,,,,,,,,,,,,,,12087064.0,,,,,,,,,,,,,,,,,,,,,,,,,,1347498.0,,,
46,tt0063227,The Lion in Winter,/movie/Lion-in-Winter-The-(UK),134,"Biography,Drama,History",30,10,1968,,,,,,,,,,,,,,,,,,,,,,,17024.0,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,1968.0,114.0,,,
47,tt0063823,Yellow Submarine,/movie/Yellow-Submarine,90,"Adventure,Animation,Comedy",13,11,1968,United Artists,,,,,,,,,,,,,,,,,,,,,,,,993385.0,,,,,,,,,,,,,,,,,,,,,,,,,,109043.0,,
48,tt0065214,The Wild Bunch,/movie/Wild-Bunch-The,145,"Action,Adventure,Western",18,06,1969,Warner Bros.,509424.0,,,,,,,,,,,,,,,,,,,,,,,,,,117108.0,,,,,,,,,,,,,,,,,,,,,,,,,
50,tt0175465,Balthazar,/movie/Au-Hasard-Balthazar,90,Comedy,19,02,1970,Rialto Pictures,,,,,,,,,39388.0,,,,,,,,,,,,,,,,,,,,,,,,,,6532.0,,,,,,,,,,,,,,,,,
51,tt0064285,The Wild Child,/movie/Enfant-sauvage-L,83,"Biography,Drama,History",09,09,1970,The Film Desk,,,,,,,,,,,,,,24973.0,34208.0,3762.0,,,,,,,,,,,,,,,,,,,,,,,,3478.0,4561.0,476.0,,,,,,,,,,
53,tt0068646,The Godfather,/movie/Godfather-The,175,"Crime,Drama",15,03,1972,Paramount Pictures,,,129141981.0,,,,,,,,,,,,,,,,,,,,,,,,,,28135507.0,,,,,,,,,,,,,,,,,,,,,,,
54,tt0068619,Ganja & Hess,/movie/Ganja-and-Hess,110,"Drama,Fantasy,Horror",23,04,1973,,,,,,,,,,,,,,,,,,,,,,,,,21344.0,,,,,,,,,,,,,,,,,,,,,,,,,,2342.0,,
55,tt0070379,Mean Streets,/movie/Mean-Streets,112,"Crime,Drama,Thriller",02,10,1973,Warner Bros.,,,,32645.0,,,,,,,,,,,,,,,,,,,,,,,,,,6960.0,,,,,,,,,,,,,,,,,,,,,,
56,tt0060107,Andrei Rublev,/movie/Andrey-Rublyov-(Soviet-Union)-(1966),205,"Biography,Drama,History",31,10,1973,Columbia,,,,,,,,,,,,,,,,,,,,,,,,102023.0,,,,,,,,,,,,,,,,,,,,,,,,,,11199.0,,
57,tt0070047,The Exorcist,/movie/Exorcist-The,122,Horror,26,12,1973,Warner Bros.,,,,,,37112212.0,,,,,,,,,,235134.0,,,,,,,,,,,,,,,,6885382.0,,,,,,,,,,29802.0,,,,,,,,,,
58,tt0071604,Hearts and Minds,/movie/Hearts-and-Minds,112,"Documentary,History,War",01,01,1974,Rialto Pictures,,,,,,,,,,28287.0,,,,,,,,,,,,,,,,,,,,,,,,,,4555.0,,,,,,,,,,,,,,,,
